Date Opération,Code Agence,encaissements,decaissements,Besoin
2023-01-25,00001,780563126.0,1792039700.0,-1011476574.0
2023-01-26,00001,1074522875.0,1914087893.0,-839565018.0
2023-01-27,00001,1249521160.0,1299405650.0,-49884490.0
2023-01-30,00001,2460763112.0,2167864480.0,292898632.0
2023-01-31,00001,1063759405.0,1798544531.0,-734785126.0
2023-02-01,00001,1077157245.0,2043052846.0,-965895601.0
2023-02-02,00001,1317202887.0,1557618449.0,-240415562.0
2023-02-03,00001,878095863.0,1625885030.0,-747789167.0
2023-02-06,00001,1752394430.0,2366327893.0,-613933463.0
2023-02-07,00001,982000480.0,1782111898.0,-800111418.0
2023-02-08,00001,877604506.0,1753538300.0,-875933794.0
2023-02-09,00001,1835754622.0,2683186049.0,-847431427.0
2023-02-10,00001,963441657.0,1725551000.0,-762109343.0
2023-02-13,00001,1075054557.0,1923075120.0,-848020563.0
2023-02-14,00001,999326921.0,1646205768.0,-646878847.0
2023-02-15,00001,1175173079.0,1462247581.0,-287074502.0
2023-02-16,00001,957750839.0,1299119364.0,-341368525.0
2023-02-17,00001,817028995.0,1486637437.0,-669608442.0
2023-02-20,00001,1287101250.0,2153270998.0,-866169748.0
2023-02-21,00001,602098571.0,1653603561.0,-1051504990.0
2023-02-22,00001,769486105.0,1430998200.0,-661512095.0
2023-02-23,00001,733637645.0,1570690515.0,-837052870.0
2023-02-24,00001,979570270.0,2016705411.0,-1037135141.0
2023-02-27,00001,2022799987.0,2918638053.0,-895838066.0
2023-02-28,00001,1186706922.0,1414901460.0,-228194538.0
2023-03-01,00001,1049633374.0,2080044755.0,-1030411381.0
2023-03-02,00001,853279929.0,1486463275.0,-633183346.0
2023-03-03,00001,860718131.0,2229219319.0,-1368501188.0
2023-03-06,00001,2108112130.0,2640458782.0,-532346652.0
2023-03-07,00001,1211689054.0,2241665725.0,-1029976671.0
2023-03-08,00001,1104574342.0,1695698066.0,-591123724.0
2023-03-09,00001,1178128618.0,1787340207.0,-609211589.0
2023-03-10,00001,1059366000.0,1693031558.0,-633665558.0
2023-03-13,00001,1802467459.0,1971529712.0,-169062253.0
2023-03-14,00001,943289656.0,1574809559.0,-631519903.0
2023-03-15,00001,791063887.0,1573586789.0,-782522902.0
2023-03-16,00001,915478330.0,1243817050.0,-328338720.0
2023-03-17,00001,1138727231.0,1732478650.0,-593751419.0
2023-03-20,00001,1951314464.0,2360873557.0,-409559093.0
2023-03-21,00001,1287331348.0,2214314665.0,-926983317.0
2023-03-22,00001,1096991480.0,1547526981.0,-450535501.0
2023-03-23,00001,915986533.0,1598301572.0,-682315039.0
2023-03-24,00001,1491217834.0,1679652876.0,-188435042.0
2023-03-27,00001,2328064950.0,2546496194.0,-218431244.0
2023-03-28,00001,1261519753.0,1810055551.0,-548535798.0
2023-03-29,00001,1192979819.0,2579438955.0,-1386459136.0
2023-03-30,00001,1036949755.0,1210141399.0,-173191644.0
2023-03-31,00001,862452089.0,1669123495.0,-806671406.0
2023-04-03,00001,2217271815.0,2988165845.0,-770894030.0
2023-04-04,00001,1200683882.0,2142090185.0,-941406303.0
2023-04-05,00001,1107389649.0,2025185260.0,-917795611.0
2023-04-06,00001,1281724743.0,1178975650.0,102749093.0
2023-04-10,00001,2667119579.0,2388005050.0,279114529.0
2023-04-11,00001,1019259684.0,2015611471.0,-996351787.0
2023-04-12,00001,922634631.0,1562111191.0,-639476560.0
2023-04-13,00001,1181078521.0,2160781443.0,-979702922.0
2023-04-14,00001,1190335662.0,2312891310.0,-1122555648.0
2023-04-17,00001,2273484661.0,2819114416.0,-545629755.0
2023-04-18,00001,1576037022.0,2377459484.0,-801422462.0
2023-04-19,00001,1013470213.0,1449177911.0,-435707698.0
